#{"t_start": 1637674807.0757542, "env_id": null}
r,l,t,total_asset,last_account,action_summary
0.452212,249,24.237339,104522.12406114087,"{'Cash': 43.98361914086854, 'WMT': 910.0, 'AAPL': 0.0, 'MMM': 468.0}","{'WMT': {'buy': 70, 'sell': 63, 'no-action': 116}, 'AAPL': {'buy': 67, 'sell': 59, 'no-action': 123}, 'MMM': {'buy': 65, 'sell': 71, 'no-action': 113}}"
3.346335,249,24.612428,133463.3517100942,"{'Cash': 45.06211309420428, 'WMT': 605.0, 'AAPL': 0.0, 'MMM': 1008.0}","{'WMT': {'buy': 77, 'sell': 60, 'no-action': 112}, 'AAPL': {'buy': 74, 'sell': 66, 'no-action': 109}, 'MMM': {'buy': 56, 'sell': 53, 'no-action': 140}}"
2.864723,249,25.19806,128647.23331877931,"{'Cash': 53.0114167793181, 'WMT': 1902.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 73, 'sell': 72, 'no-action': 104}, 'AAPL': {'buy': 64, 'sell': 61, 'no-action': 124}, 'MMM': {'buy': 55, 'sell': 62, 'no-action': 132}}"
1.836649,249,25.638234,118366.49054722751,"{'Cash': 22456.391592227505, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 1045.0}","{'WMT': {'buy': 69, 'sell': 73, 'no-action': 107}, 'AAPL': {'buy': 73, 'sell': 67, 'no-action': 109}, 'MMM': {'buy': 67, 'sell': 63, 'no-action': 119}}"
1.024009,249,26.006185,110240.08743422978,"{'Cash': 47.74702322977828, 'WMT': 928.0, 'AAPL': 0.0, 'MMM': 517.0}","{'WMT': {'buy': 65, 'sell': 65, 'no-action': 119}, 'AAPL': {'buy': 54, 'sell': 57, 'no-action': 138}, 'MMM': {'buy': 74, 'sell': 65, 'no-action': 110}}"
-0.208049,249,26.288979,97919.5058887494,"{'Cash': 20.224440749399946, 'WMT': 1448.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 62, 'sell': 71, 'no-action': 116}, 'AAPL': {'buy': 70, 'sell': 77, 'no-action': 102}, 'MMM': {'buy': 61, 'sell': 57, 'no-action': 131}}"
0.837554,249,27.73201,108375.5418939956,"{'Cash': 61.76296299558635, 'WMT': 64.0, 'AAPL': 0.0, 'MMM': 1133.0}","{'WMT': {'buy': 77, 'sell': 74, 'no-action': 98}, 'AAPL': {'buy': 63, 'sell': 59, 'no-action': 127}, 'MMM': {'buy': 74, 'sell': 60, 'no-action': 115}}"
2.986059,249,28.005898,129860.58591266266,"{'Cash': 26011.624376662672, 'WMT': 1536.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 79, 'sell': 72, 'no-action': 98}, 'AAPL': {'buy': 68, 'sell': 65, 'no-action': 116}, 'MMM': {'buy': 52, 'sell': 55, 'no-action': 142}}"
3.187845,249,28.303664,131878.45218878143,"{'Cash': 14.763623781441325, 'WMT': 1.0, 'AAPL': 0.0, 'MMM': 1436.0}","{'WMT': {'buy': 66, 'sell': 68, 'no-action': 115}, 'AAPL': {'buy': 59, 'sell': 65, 'no-action': 125}, 'MMM': {'buy': 59, 'sell': 54, 'no-action': 136}}"
1.408513,249,28.648067,114085.13181188275,"{'Cash': 77873.21195288275, 'WMT': 146.0, 'AAPL': 0.0, 'MMM': 287.0}","{'WMT': {'buy': 63, 'sell': 64, 'no-action': 122}, 'AAPL': {'buy': 56, 'sell': 60, 'no-action': 133}, 'MMM': {'buy': 65, 'sell': 65, 'no-action': 119}}"
