#{"t_start": 1637497800.00389, "env_id": null}
r,l,t,total_asset,last_account,action_summary
44.566079,687,224.549217,545660.7921829999,"{'Cash': 42.62332699990657, 'WMT': 8856.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 82, 'sell': 71, 'no-action': 534}, 'ABBV': {'buy': 155, 'sell': 154, 'no-action': 378}, 'MMM': {'buy': 109, 'sell': 82, 'no-action': 496}}"
46.924928,687,228.958704,569249.2801869998,"{'Cash': 34.480947999889395, 'WMT': 9239.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 92, 'sell': 80, 'no-action': 515}, 'ABBV': {'buy': 164, 'sell': 157, 'no-action': 366}, 'MMM': {'buy': 104, 'sell': 88, 'no-action': 495}}"
39.697235,687,233.327521,496972.3465409999,"{'Cash': 26.07847499991476, 'WMT': 8066.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 91, 'sell': 73, 'no-action': 523}, 'ABBV': {'buy': 167, 'sell': 154, 'no-action': 366}, 'MMM': {'buy': 114, 'sell': 85, 'no-action': 488}}"
46.16798,687,237.641534,561679.8016139996,"{'Cash': 43.032497999716725, 'WMT': 9116.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 95, 'sell': 83, 'no-action': 509}, 'ABBV': {'buy': 170, 'sell': 169, 'no-action': 348}, 'MMM': {'buy': 123, 'sell': 97, 'no-action': 467}}"
49.648059,687,242.027631,596480.5854599999,"{'Cash': 34.165778999951726, 'WMT': 9681.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 91, 'sell': 78, 'no-action': 518}, 'ABBV': {'buy': 166, 'sell': 165, 'no-action': 356}, 'MMM': {'buy': 118, 'sell': 100, 'no-action': 469}}"
49.981115,687,246.433105,599811.1549019997,"{'Cash': 37.79516699976102, 'WMT': 9735.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 89, 'sell': 76, 'no-action': 522}, 'ABBV': {'buy': 196, 'sell': 186, 'no-action': 305}, 'MMM': {'buy': 88, 'sell': 82, 'no-action': 517}}"
47.879858,687,250.826285,578798.580678,"{'Cash': 134.23688400001993, 'WMT': 5402.0, 'ABBV': 0.0, 'MMM': 1608.0}","{'WMT': {'buy': 81, 'sell': 69, 'no-action': 537}, 'ABBV': {'buy': 176, 'sell': 169, 'no-action': 342}, 'MMM': {'buy': 113, 'sell': 95, 'no-action': 479}}"
49.089139,687,255.158302,590891.3927479999,"{'Cash': 51.48315799987904, 'WMT': 9590.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 84, 'sell': 76, 'no-action': 527}, 'ABBV': {'buy': 171, 'sell': 160, 'no-action': 356}, 'MMM': {'buy': 136, 'sell': 111, 'no-action': 440}}"
50.761375,687,259.544159,607613.7498679999,"{'Cash': 45.90652400004183, 'WMT': 5216.0, 'ABBV': 0.0, 'MMM': 1872.0}","{'WMT': {'buy': 98, 'sell': 82, 'no-action': 507}, 'ABBV': {'buy': 143, 'sell': 147, 'no-action': 397}, 'MMM': {'buy': 125, 'sell': 99, 'no-action': 463}}"
52.889102,687,263.973803,628891.0205910001,"{'Cash': 37.74038400013342, 'WMT': 10207.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 102, 'sell': 86, 'no-action': 499}, 'ABBV': {'buy': 155, 'sell': 155, 'no-action': 377}, 'MMM': {'buy': 116, 'sell': 99, 'no-action': 472}}"
55.840969,687,268.378098,658409.6938929997,"{'Cash': 45.223206999726244, 'WMT': 10686.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 99, 'sell': 81, 'no-action': 507}, 'ABBV': {'buy': 164, 'sell': 152, 'no-action': 371}, 'MMM': {'buy': 128, 'sell': 94, 'no-action': 465}}"
56.41137,687,272.765818,664113.701528,"{'Cash': 73.56384499998967, 'WMT': 8572.0, 'ABBV': 0.0, 'MMM': 889.0}","{'WMT': {'buy': 78, 'sell': 67, 'no-action': 542}, 'ABBV': {'buy': 164, 'sell': 150, 'no-action': 373}, 'MMM': {'buy': 120, 'sell': 91, 'no-action': 476}}"
57.490948,687,277.301922,674909.4776979997,"{'Cash': 33.526743999740575, 'WMT': 10954.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 85, 'sell': 63, 'no-action': 539}, 'ABBV': {'buy': 155, 'sell': 147, 'no-action': 385}, 'MMM': {'buy': 110, 'sell': 84, 'no-action': 493}}"
57.850719,687,281.683161,678507.1940330002,"{'Cash': 40.94759900015197, 'WMT': 7749.0, 'ABBV': 0.0, 'MMM': 1315.0}","{'WMT': {'buy': 70, 'sell': 63, 'no-action': 554}, 'ABBV': {'buy': 149, 'sell': 147, 'no-action': 391}, 'MMM': {'buy': 126, 'sell': 101, 'no-action': 460}}"
